antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
"28666, 4063, 45348","Organic Vitality Snack Wild Raspberry, Turkey Ham, Chillable Red House Wine","37777, 9009","Moroccan Infusion Color Care Shampoo, Fuji  Apples",0.4996,0.8638,1.729,"{28666, 4063, 45348}","{37777, 9009}"
"2564, 41739, 44101","100% Tomato Juice, Boneless Fried Chicken & Waffles, Passion Fruit Ginger Ale","28546, 47081","Hello Kitty Fruit Flavored Snacks, Pink Himalayan Salt Mill",0.1289,0.9164,7.1094,"{2564, 41739, 44101}","{28546, 47081}"
16425,Organic Lowafat 1% Milk,"16440, 18613","Fridge Pack Diet Root Beer, Light Southwestern Style Vegetable Soup",0.419,0.7012,1.6735,{16425},"{16440, 18613}"
"17519, 39511, 47160","Organic Espresso Blend Whole Bean Coffee, Baby Diaper Rash Ointment, Hair Expertise Ever Pure Blonde Shampoo",4339,Pure Camomile Herbal Tea Bags,0.3671,0.6208,1.6911,"{17519, 39511, 47160}",{4339}
"12479, 32825, 41601","Regular Cardboard Applicator Unscented Tampons, RediTabs Non Drowsy Indoor & Outdoor 24 Hour Allergy Tablets, All Profits To Charity Pineapple Salsa","28583, 7771","Down East Olive Oil Crackers, Gluten Free Hazelnut Wafer Bites",0.0193,0.8565,44.3782,"{12479, 32825, 41601}","{28583, 7771}"
21639,Cool Mint Wintergreen Toothpaste,"12440, 27912","California Lemonade, California Blend Broccoli, Cauliflower & Carrots",0.3878,0.7542,1.9448,{21639},"{12440, 27912}"
"30278, 35825, 43145","Organic Caesar Complete Salad Kit, Jumbo Franks, Pinto Beans with Jalapeno Peppers",28546,Hello Kitty Fruit Flavored Snacks,0.0572,0.846,14.7902,"{30278, 35825, 43145}",{28546}
"31550, 33453","Cake Mix, Premium, Chocolate, V-Fusion Fruit Punch Vegetable & Fruit Beverage",4665,Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee,0.0334,0.4412,13.2096,"{31550, 33453}",{4665}
"12231, 6544, 9846","Orange Jel Dessert, Garlic Rosemary Citrus Sauce, Simply Dressed Coleslaw Dressing","39637, 8281","Deep Dish Sausage & Gravy Pot Pie, Head of Lettuce",0.3198,0.3524,1.1019,"{12231, 6544, 9846}","{39637, 8281}"
"10739, 1190, 8653","Classic Decaf Instant Coffee Crystals, Tequila Reposado with Glass, Daisy Cutter Pale Ale","35340, 38974","Jumbo Slider Bags, Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing",0.0131,0.5455,41.6412,"{10739, 1190, 8653}","{35340, 38974}"
42515,Nilla Wafers Reduced Fat,49293,Blue Decorating Cake Icing,0.4091,0.4675,1.1428,{42515},{49293}
"15804, 22818, 25989","Fuji Apple Juice, Cinnamon Pebbles Cereals, Low Dose 81mg Enteric Coated Aspirin Tablets Pain Reliever","46111, 4854","Pro V Shampoo & Conditioner 2 In 1 Classic Clean, Cheese Creations Creamy Tomato Cheese Sauce",0.1633,0.8392,5.139,"{15804, 22818, 25989}","{46111, 4854}"
46068,Cinnamon Chips Baking Pieces,49668,Apple Cinnamon Scented Candles,0.396,0.952,2.404,{46068},{49668}
"1924, 32594, 41999","Long Grain Rice, Celery Ground Spice, Cut Tulips (Choose Color)","20172, 40903","Almond Goat's Milk Soap, 2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food",0.2851,0.5912,2.0737,"{1924, 32594, 41999}","{20172, 40903}"
"23027, 9694","Dominican Chocolate Bar, Hickory Ham & Cheddar in a Croissant Crust",36035,Reduced Sodium Jambalaya Mix,0.2862,0.5161,1.8033,"{23027, 9694}",{36035}
"13718, 23805, 48949","Grape with Electrolytes & Vitamins Water Beverage, Peppered Turkey Bacon, Low Fat Strawberry Milk","34600, 41872","On the Go Pink Lemonade Drink Mix, Herbal Tea, Organic Chamomile",0.2494,0.3453,1.3845,"{13718, 23805, 48949}","{34600, 41872}"
13968,Rustic Tomato Basil Sauce,721,Sweet Chai of Mine Chai Tea Bags,0.1967,0.9748,4.9558,{13968},{721}
42979,Four Star Collection Entertainment Crackers,"15770, 16440","Hot Dog Chili Sauce, Fridge Pack Diet Root Beer",0.0562,0.5327,9.4786,{42979},"{15770, 16440}"
7996,Grenache Varietal Red Wine Vinegar,"3735, 721","Specialties Garlic Stuffed Queen Olives, Sweet Chai of Mine Chai Tea Bags",0.115,0.9918,8.6243,{7996},"{3735, 721}"
24724,G Series Frost Rain Berry Flavor Sports Drink,18613,Light Southwestern Style Vegetable Soup,0.1539,0.7166,4.6563,{24724},{18613}
"19276, 45848","Whole Nutmeg, Greek Yogurt Indulgent Raspberry","39637, 46664","Deep Dish Sausage & Gravy Pot Pie, Newtons 100% Whole Grain Blueberry Cookies",0.1415,0.3054,2.1583,"{19276, 45848}","{39637, 46664}"
"19276, 2714, 7307","Whole Nutmeg, Handi-Snacks Ritz Crackers 'n Cheese Dip, Sweet & Sour Chicken With Vegetables",7771,Gluten Free Hazelnut Wafer Bites,0.1785,0.7604,4.2599,"{19276, 2714, 7307}",{7771}
24789,Organic Cold Season Tea Bags,"2248, 35316","Variety Pack Granola Bars, Shower Cleaner",0.1168,0.5742,4.9161,{24789},"{2248, 35316}"
1732,Organic Peach Pear Blueberry Apple Avocado,45465,Shredded Swiss Cheese,0.4278,0.8573,2.004,{1732},{45465}
"16698, 2248, 29370","Uncured Pepperoni & Uncured Bacon, Variety Pack Granola Bars, Organic White Cheddar Popcorn",7671,Organic Yogurt Baby Food,0.4712,0.8192,1.7385,"{16698, 2248, 29370}",{7671}
19276,Whole Nutmeg,"2248, 26797","Variety Pack Granola Bars, Drinkable Yogurt Starwberry",0.4673,0.6926,1.4821,{19276},"{2248, 26797}"
"34439, 6039, 8683","Super Echinacea, Chromium Picolinate - 500mcg, Complete Battery Power Toothbrush","10739, 35074","Classic Decaf Instant Coffee Crystals, Whole Milk Mozzarella Shredded Cheese",0.335,0.351,1.0478,"{34439, 6039, 8683}","{10739, 35074}"
"17373, 18116, 40705","Almond Butter Mini Bar, Teatree Mint Hydrating Shampoo, Complete Therapy Treatment Ovule Antifungal Cream","27912, 5172","California Blend Broccoli, Cauliflower & Carrots, Original Croccantini",0.2262,0.6147,2.7175,"{17373, 18116, 40705}","{27912, 5172}"
"33376, 48949","Vanilla Wafer Cookies, Low Fat Strawberry Milk",28666,Organic Vitality Snack Wild Raspberry,0.221,0.4414,1.9973,"{33376, 48949}",{28666}
24144,Constellation Tomatoes,4669,Pure Rewards Beef Jerky Bits Dog Treats,0.0613,0.5588,9.1158,{24144},{4669}
39938,7 Grain Waffles,41999,Cut Tulips (Choose Color),0.1589,0.884,5.5632,{39938},{41999}
34353,Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types,15859,World Harbor Marinade Sriracha,0.2586,0.3781,1.4621,{34353},{15859}
"47190, 48448","Kosher Matzo Meal For Passover, Dates",27083,Organic Coconut Aloe Water,0.4171,0.5789,1.3879,"{47190, 48448}",{27083}
"15255, 24899","Fat Free Rich Milk Chocolate Hot Cocoa Mix, Spinach & Ricotta Tortelloni","42287, 48041","Organic Pumpkin Flax Granola, DanActive Vanilla Probiotic Dairy Drink",0.3632,0.8126,2.2373,"{15255, 24899}","{42287, 48041}"
"19249, 28666, 6445","Naturally Dry Natural Powder for Women Antiperspirant/Deodorant, Organic Vitality Snack Wild Raspberry, Gold Blend Tea Bags",36789,UltimateCare Premium Liquid Bleach,0.1148,0.5878,5.1202,"{19249, 28666, 6445}",{36789}
"40903, 45348, 45465","2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food, Chillable Red House Wine, Shredded Swiss Cheese",46976,Dry Sweeping Refills  X-Large,0.2126,0.616,2.8975,"{40903, 45348, 45465}",{46976}
15882,Passion Punch,"32594, 43802","Celery Ground Spice, Organic Sweet Apple Chicken Sausage",0.2902,0.659,2.2708,{15882},"{32594, 43802}"
"27912, 41087","California Blend Broccoli, Cauliflower & Carrots, Menstrual Cup, Model 1",26130,Creamy Gorg Blue-Veined Cheese Soft,0.3301,0.4217,1.2775,"{27912, 41087}",{26130}
"34824, 43520","Organic Sweet Onion, Organic Cranberry, Almond & Coconut Super Food Bar",48949,Low Fat Strawberry Milk,0.3406,0.5466,1.6048,"{34824, 43520}",{48949}
"2989, 7671","Sweet Marsala, Organic Yogurt Baby Food",38256,Maple Glazed Pecan & Sea Salt Bar,0.0738,0.8506,11.5257,"{2989, 7671}",{38256}
"24144, 33926","Constellation Tomatoes, Adobo All Purpose Seasoning","21391, 43717","Sardines In Soybean Oil, 18-in-1 Hemp Pure-Castile Soap Almond",0.0287,0.3005,10.4704,"{24144, 33926}","{21391, 43717}"
"19249, 32223","Naturally Dry Natural Powder for Women Antiperspirant/Deodorant, For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy","11325, 33826","Organic Hemp Plus Granola, Apple Cinnamon Walnut Crisps",0.3768,0.916,2.431,"{19249, 32223}","{11325, 33826}"
39568,Kick Ass Allergy,10014,Fresh Puttanesca Sauce,0.3509,0.9592,2.7335,{39568},{10014}
2562,Quick & Easy Steel Cut Irish Oatmeal,24301,Beneful Treats Baked Delights Hugs Dog Snacks,0.4916,0.4434,0.902,{2562},{24301}
"20392, 30912, 4631","Hair Bender Whole Bean Coffee, Original Decaf Medium Roast K-Cups, Lip Rescue with Eco - Harvest Tea Tree Oil","2564, 29370","100% Tomato Juice, Organic White Cheddar Popcorn",0.313,0.8671,2.7703,"{20392, 30912, 4631}","{2564, 29370}"
"35388, 35825, 47020","Brooklyn Rye Oval, Jumbo Franks, Peanut Butter Pretzel Sandwiches",6445,Gold Blend Tea Bags,0.2984,0.4227,1.4166,"{35388, 35825, 47020}",{6445}
"19276, 9667","Whole Nutmeg, Radiatore Pasta","18116, 32803","Teatree Mint Hydrating Shampoo, Regular Deodorant",0.1468,0.5874,4.0014,"{19276, 9667}","{18116, 32803}"
"2714, 34583, 45925","Handi-Snacks Ritz Crackers 'n Cheese Dip, 100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn, All Natural Turkey Burgers",33632,Reduced Fat Pepper Jack  Cheese,0.357,0.719,2.014,"{2714, 34583, 45925}",{33632}
24190,In Light Syrup & Passion Fruit Juice Tropical Fruit,"12129, 49668","12 Oz Lager, Apple Cinnamon Scented Candles",0.4198,0.3268,0.7785,{24190},"{12129, 49668}"
20392,Hair Bender Whole Bean Coffee,"43857, 47081","Traditional Chicken & Wild Rice Soup, Pink Himalayan Salt Mill",0.0706,0.835,11.8272,{20392},"{43857, 47081}"
"25493, 34135, 691","Cookies 'n Cream with Oreo Cookie Pieces Lowfat Yogurt, Home Style Mexican-Style Chicken Tortilla Soup, Organic Promise Strawberry Fields Cereal",26130,Creamy Gorg Blue-Veined Cheese Soft,0.4358,0.9071,2.0815,"{25493, 34135, 691}",{26130}
"46767, 9344","Robert Mondavi Pinot Grigio California 2013, Simply 100 Pineapple Blended Non-Fat Greek Yogurt","38036, 48476","Toasted Sesame Water Crackers, Tender Chicken & Stars Stage 3",0.1679,0.838,4.9911,"{46767, 9344}","{38036, 48476}"
4603,Organic Emerald Matcha Whole Leaf Tea,46069,Supergreens!,0.1555,0.7432,4.7794,{4603},{46069}
"45013, 6039","Apple Sauce, Chromium Picolinate - 500mcg","27115, 7402","All-Natural Autumn Apple  Fruit Strip, Mandarin Mango Hand Soap",0.3111,0.7957,2.5577,"{45013, 6039}","{27115, 7402}"
"24620, 27140","Gourmet Mexican Salsa New Mexico Red Chile, Green Tea Decaf Lotus Blossom Green Tea Bags",7771,Gluten Free Hazelnut Wafer Bites,0.2064,0.8298,4.0203,"{24620, 27140}",{7771}
15532,Classic Honey Peanut Butter Squeeze,"25989, 35340","Low Dose 81mg Enteric Coated Aspirin Tablets Pain Reliever, Jumbo Slider Bags",0.1385,0.9194,6.6383,{15532},"{25989, 35340}"
"26345, 49293","Small/Medium Maximum Absorbency Women Underwear, Blue Decorating Cake Icing","38036, 41087","Toasted Sesame Water Crackers, Menstrual Cup, Model 1",0.3509,0.8199,2.3366,"{26345, 49293}","{38036, 41087}"
49293,Blue Decorating Cake Icing,6833,Udo's Choice Super 8 Probiotic Capsules,0.4227,0.7784,1.8415,{49293},{6833}
"14388, 22075, 24144","Invisible Solid Outlast Completely Clean - 5.2 oz Twin, Silicone Baby 3-12 Months Toothbrush, Constellation Tomatoes","29329, 3286","Surface Wipes Fresh Scent, 9\"" OvenFresh Pie Plate",0.1444,0.8191,5.6724,"{14388, 22075, 24144}","{29329, 3286}"
"18723, 45814, 46111","Sterile Gauze Pads, Rose Foaming Face Wash, Pro V Shampoo & Conditioner 2 In 1 Classic Clean","6300, 7690","Light & Lean Pasta & Veggie Bowl, Orzo",0.1171,0.7393,6.3134,"{18723, 45814, 46111}","{6300, 7690}"
"38988, 4500","White English Muffins, Chimichanga Chicken & Cheese",24724,G Series Frost Rain Berry Flavor Sports Drink,0.3165,0.4778,1.5096,"{38988, 4500}",{24724}
"30258, 9344","Organic Peppermint Mints, Simply 100 Pineapple Blended Non-Fat Greek Yogurt","30369, 35210","Gluten Free Spinach And Cheese Ravioli, Natural Mozzarella Deli Style Sliced Cheese",0.0635,0.3152,4.9638,"{30258, 9344}","{30369, 35210}"
43717,18-in-1 Hemp Pure-Castile Soap Almond,"1732, 18134","Organic Peach Pear Blueberry Apple Avocado, Original Coconut Oil Soap",0.0384,0.3969,10.3359,{43717},"{1732, 18134}"
"26797, 34824, 39511","Drinkable Yogurt Starwberry, Organic Sweet Onion, Baby Diaper Rash Ointment",30968,Water Chestnut,0.3883,0.7588,1.9542,"{26797, 34824, 39511}",{30968}
"19276, 39637, 43520","Whole Nutmeg, Deep Dish Sausage & Gravy Pot Pie, Organic Cranberry, Almond & Coconut Super Food Bar","17268, 22027","Original Potato Chips Triple Pack, Miso, Red",0.0942,0.8008,8.5011,"{19276, 39637, 43520}","{17268, 22027}"
"12129, 48448, 702","12 Oz Lager, Dates, Cheese Spread Port Wine","26599, 28442","Jasmine Green, Coronita Beer Extra",0.1568,0.4851,3.0938,"{12129, 48448, 702}","{26599, 28442}"
13171,Organic Whole Grain Black Beans & Rice Rice & Seasoning Mix,13718,Grape with Electrolytes & Vitamins Water Beverage,0.3693,0.3099,0.8392,{13171},{13718}
1672,English Cucumbers,20171,White Bread,0.3086,0.7035,2.2797,{1672},{20171}
49293,Blue Decorating Cake Icing,26130,Creamy Gorg Blue-Veined Cheese Soft,0.195,0.9521,4.8826,{49293},{26130}
"1168, 24099, 28583","White Wine Winemaker's Blend California, 2010, Snickerdoodle Cookie with Salted Caramel Ice Cream Sandwich, Down East Olive Oil Crackers","34824, 40771","Organic Sweet Onion, Salt and Pepper Cashews",0.232,0.6864,2.9586,"{1168, 24099, 28583}","{34824, 40771}"
"19249, 4500","Naturally Dry Natural Powder for Women Antiperspirant/Deodorant, Chimichanga Chicken & Cheese","6242, 6833","All Natural Boneless & Skinless Chicken Breasts Family Pack, Udo's Choice Super 8 Probiotic Capsules",0.2212,0.775,3.5036,"{19249, 4500}","{6242, 6833}"
3092,Sour Cherry Sour Licorice Twists,"34824, 35340","Organic Sweet Onion, Jumbo Slider Bags",0.3591,0.3271,0.9109,{3092},"{34824, 35340}"
"3527, 4339","Sorbet Pops Banana Coconut, Pure Camomile Herbal Tea Bags",13286,Dairy Pure Fat Free Milk,0.0149,0.4105,27.5503,"{3527, 4339}",{13286}
"18593, 4231","Hardwood Smoked Sliced Turkey Breast, Advanced Haircare Color Vibrancy Conditioner",36789,UltimateCare Premium Liquid Bleach,0.2004,0.7781,3.8827,"{18593, 4231}",{36789}
"12785, 4287, 8766","Deluxe Original Cheddar Macaroni & Cheese Dinner, Organic Pure Blueberry Juice, Delicious IPA",33995,Five Cheese Garlic Bread,0.3942,0.4251,1.0784,"{12785, 4287, 8766}",{33995}
6242,All Natural Boneless & Skinless Chicken Breasts Family Pack,"26554, 33453","Rigatoni With Chicken & Pesto, V-Fusion Fruit Punch Vegetable & Fruit Beverage",0.3184,0.7595,2.3854,{6242},"{26554, 33453}"
"36354, 44836","Bourbon Vanilla & Tangerine Hair Texturizer, Karia Chardonnay",35825,Jumbo Franks,0.1444,0.6439,4.4591,"{36354, 44836}",{35825}
"483, 4883","\""Constant Comment\"" Decaffeinated Black Tea Blend, Holiday Milk Chocolates",12479,Regular Cardboard Applicator Unscented Tampons,0.4651,0.9589,2.0617,"{483, 4883}",{12479}
"32223, 3638, 47190","For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy, Organic Original Panko, Kosher Matzo Meal For Passover",10739,Classic Decaf Instant Coffee Crystals,0.4167,0.4871,1.1689,"{32223, 3638, 47190}",{10739}
"16440, 33294","Fridge Pack Diet Root Beer, Tortillas, Wheat Free, Sprouted Corn","26206, 47091","Pickled Red Cabbage, Non Alcoholic Amber Beer",0.0391,0.6342,16.2199,"{16440, 33294}","{26206, 47091}"
40462,Cleanse,"13350, 7879","Vine Ripened Golden Berries, American Cheese, Pre-Sliced",0.0946,0.3933,4.1575,{40462},"{13350, 7879}"
"19867, 37496, 46524","Sweet Corn & Carrot with Turkey + Sage Stage 3 Baby Food, Organic Deep Dark Sea Salt Chocolate, Natural Peanut Butter Crunchy and Flaxseed","15770, 702","Hot Dog Chili Sauce, Cheese Spread Port Wine",0.1234,0.5287,4.2844,"{19867, 37496, 46524}","{15770, 702}"
"37019, 9344","Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert, Simply 100 Pineapple Blended Non-Fat Greek Yogurt","27784, 37785","Lemonade With Tea, Peanut Satay Asian Cuisine",0.3731,0.7382,1.9786,"{37019, 9344}","{27784, 37785}"
"41139, 6833","Complete Deep Clean Soft Bristles Toothbrush, Udo's Choice Super 8 Probiotic Capsules","16727, 33401","Organic Bosc Pears, Goat Cheese Crumbles",0.0421,0.4538,10.7791,"{41139, 6833}","{16727, 33401}"
47190,Kosher Matzo Meal For Passover,"41601, 42515","All Profits To Charity Pineapple Salsa, Nilla Wafers Reduced Fat",0.2953,0.8661,2.9329,{47190},"{41601, 42515}"
"14069, 27115, 38218","Vietnamese Brown Rice Spring Roll Wrappers, All-Natural Autumn Apple  Fruit Strip, Rising Crust Three Meat Pizza",28886,Organic Orange,0.4284,0.5719,1.335,"{14069, 27115, 38218}",{28886}
"15255, 24554, 37777","Fat Free Rich Milk Chocolate Hot Cocoa Mix, Bars, Slim, Raspberry Truffle, Vegan, Bars, Gluten Free, Box, Moroccan Infusion Color Care Shampoo",31550,"Cake Mix, Premium, Chocolate",0.3933,0.8613,2.1899,"{15255, 24554, 37777}",{31550}
"2606, 32825, 47081","Mr. Goodbar Milk Chocolate with Peanuts Candy Bar, RediTabs Non Drowsy Indoor & Outdoor 24 Hour Allergy Tablets, Pink Himalayan Salt Mill",46976,Dry Sweeping Refills  X-Large,0.3611,0.9513,2.6345,"{2606, 32825, 47081}",{46976}
26508,Dandruff Shampoo Plus Conditioner T/Gel® Daily Control,28546,Hello Kitty Fruit Flavored Snacks,0.2978,0.3967,1.3321,{26508},{28546}
48974,Organic Asian Sesame Dressing,18694,Mandarin and Seville Orange Jigger,0.1244,0.9665,7.7693,{48974},{18694}
"16666, 28666, 4200","Single Serve Donut Shop Coffee, 12 Count, Organic Vitality Snack Wild Raspberry, 60 Watt Crystal Clear Bulbs",9009,Fuji  Apples,0.36,0.6975,1.9375,"{16666, 28666, 4200}",{9009}
"39640, 4631","Dark Chocolate with Cinnamon Cayenne  & Cherries, Lip Rescue with Eco - Harvest Tea Tree Oil","18045, 4553","Clean & Refresh Antibacterial Body Wash, Lavender & Twilight Jasmine, Exfoliating Renewal Wet Cleansing Towelettes",0.4738,0.9508,2.0068,"{39640, 4631}","{18045, 4553}"
"16666, 8683","Single Serve Donut Shop Coffee, 12 Count, Complete Battery Power Toothbrush","16176, 35795","Lentil Trio, Organic, Mexican Restaurant Style Corn Tortilla Chips",0.2157,0.813,3.7691,"{16666, 8683}","{16176, 35795}"
"10014, 14586, 26130","Fresh Puttanesca Sauce, Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Creamy Gorg Blue-Veined Cheese Soft","34583, 34824","100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn, Organic Sweet Onion",0.1191,0.3512,2.9488,"{10014, 14586, 26130}","{34583, 34824}"
"18593, 38256, 8353","Hardwood Smoked Sliced Turkey Breast, Maple Glazed Pecan & Sea Salt Bar, Organic Honey Bunch Grape Tomatoes","29084, 47160","Honey Mustard Nut-Thins Cracker, Hair Expertise Ever Pure Blonde Shampoo",0.0998,0.82,8.2164,"{18593, 38256, 8353}","{29084, 47160}"
"45348, 5533","Chillable Red House Wine, Washing Machine Cleaner",13139,Pure Peanut Oil,0.4731,0.7207,1.5234,"{45348, 5533}",{13139}
"23333, 43983","Beef Ravioli in Tomato & Meat Sauce, Zingers Raspberry Cakes","1097, 14069","Sonoma County Sauvignon Blanc, Vietnamese Brown Rice Spring Roll Wrappers",0.3845,0.872,2.2679,"{23333, 43983}","{1097, 14069}"
"18116, 20172, 48158","Teatree Mint Hydrating Shampoo, Almond Goat's Milk Soap, Blackberry Graham Soft-Baked Cereal Bars","17813, 23404","Caraway Seed, With Rice Gumbo Mix",0.1683,0.5803,3.448,"{18116, 20172, 48158}","{17813, 23404}"
16059,Crab Delights Imitation Flake Style Crab Meat,49121,Rainbow Carrots,0.2471,0.3293,1.3327,{16059},{49121}
"26206, 34135","Pickled Red Cabbage, Home Style Mexican-Style Chicken Tortilla Soup","35825, 38218","Jumbo Franks, Rising Crust Three Meat Pizza",0.0568,0.9012,15.8662,"{26206, 34135}","{35825, 38218}"
"18723, 24974","Sterile Gauze Pads, Caramel Custard Yogurt","32736, 41139","Humectress Conditioner, Complete Deep Clean Soft Bristles Toothbrush",0.3049,0.9403,3.084,"{18723, 24974}","{32736, 41139}"
48015,Lime Slim Can,"16527, 35340","LashBlast Volume Mascara - Black 805, Jumbo Slider Bags",0.0763,0.6423,8.4181,{48015},"{16527, 35340}"
"27505, 31020, 3163","Original Strawberry Gelatin, Organic Honey Grade A, Natural Calm Anti-Stress Drink",4631,Lip Rescue with Eco - Harvest Tea Tree Oil,0.1363,0.7425,5.4475,"{27505, 31020, 3163}",{4631}
7564,Protein And Fiber Chocolate Peanut Butter Bar,"12264, 34824","Fine Selection of Crackers and Biscuits for Cheese, Organic Sweet Onion",0.0721,0.5111,7.0888,{7564},"{12264, 34824}"
